# 0D ASCII output created by CarpetIOASCII
# created on c203-024.frontera.tacc.utexas.edu by liwei on Mar 09 2025 at 09:37:23-0500
# parameter filename: "q1-Z4cowCarpet.par"
#
# CARPET::TIMING (carpet-timing)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
128	0	0 0 0	0 0 0	0.416666666666667	0 0 0	7.21271600533063 6.25826814281635 270.876188993454 207.966042041779 270.875164985657 0 0.00102400779724121 256 266444.672678188 58662159.3420967 55411444 12199737096 266180.744974121 58641882.8394591 55356556 12195520272 1953.11012805588 2605448.91082654 2605448.91082654 0 2 2668 2668 0 0 0 0 0 262.984987974167 1741531251.13049 78975

# iteration 192   time 0.625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
192	0	0 0 0	0 0 0	0.625	0 0 0	7.28238601434548 6.56805761983008 371.874818086624 308.964671134949 371.873411178589 0 0.00140690803527832 384 269252.169493724 59282391.1313793 83189408 18316164480 269074.518114366 59268742.8913248 83134520 18311947656 2132.33553634977 2858751.17573293 2858751.17573293 0 3 4022 4022 0 0 0 0 0 362.876671791077 1741531352.12912 117823

# iteration 256   time 0.833333333333333
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
256	0	0 0 0	0 0 0	0.833333333333333	0 0 0	7.33734466083125 6.74560328498887 471.777405977249 408.867259025574 471.775639057159 0 0.00176692008972168 511 270402.791026818 59531912.0195866 110558848 24340649692 270268.546968903 59521598.5892326 110503960 24336432868 2263.82620429092 3029565.41789232 3029565.41789232 0 4 5353 5353 0 0 0 0 0 461.552067518234 1741531452.0317 156543

# iteration 320   time 1.04166666666667
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
320	0	0 0 0	0 0 0	1.04166666666667	0 0 0	7.34144463147683 6.85766354339853 573.708796024323 510.798649072647 573.706651926041 0 0.00214409828186035 640 271341.461555604 59741547.1466134 138600852 30515901576 271126.55104204 59725036.4373245 138491076 30507467928 2331.98265317469 3129054.3240298 3129054.3240298 0 5 6709 6709 0 0 0 0 0 562.333901405334 1741531553.96309 195647

# iteration 384   time 1.25
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
384	0	0 0 0	0 0 0	1.25	0 0 0	7.36860737753667 6.93784657433853 673.608989953995 610.698843002319 673.606482028961 0 0.00250792503356934 767 271771.092907359 59833725.258689 165970292 36540386788 271591.338186587 59819915.427384 165860516 36531953140 2392.41600912634 3214210.90826124 3214210.90826124 0 6 8061 8061 0 0 0 0 0 661.043890237808 1741531653.86329 234303

# iteration 448   time 1.45833333333333
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
448	0	0 0 0	0 0 0	1.45833333333333	0 0 0	7.37596812237044 7.00311225984008 774.681118965149 711.770972013474 774.678231954575 0 0.00288701057434082 895 272205.897146832 59930533.6256288 193748256 42656814172 272051.667760812 59918684.8029996 193638480 42648380524 2424.65339829879 3252499.34428937 3252499.34428937 0 7 9390 9390 0 0 0 0 0 761.001020669937 1741531754.93542 273151

# iteration 512   time 1.66666666666667
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
512	0	0 0 0	0 0 0	1.66666666666667	0 0 0	7.38885730739859 7.06062766218247 874.943692922592 812.033545970917 874.940441846848 0 0.00325107574462891 1022 272301.18398079 59949862.4478545 221117696 48681299384 272165.997447494 59939476.6109124 221007920 48672865736 2460.72396597243 3305059.87679671 3305059.87679671 0 8 10745 10745 0 0 0 0 0 860.087514162064 1741531855.19799 311871

